0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
47,29,87,155,85,129,199,158,66,7,98,57,152,15,8,96,194,100,151,173,122
170,151,142,78,167,9,96,43,173,80,36,74,1,34,25,100,15,57,194,29,158
55,123,5,103,1,158,98,57,29,15,194,100,173,122,73,43,175,24,53,31,64
78,170,57,151,173,171,142,43,36,73,167,9,1,22,96,66,34,98,29,15,158
5,55,123,103,128,1,57,29,15,194,100,173,122,73,43,44,158,175,53,31,64
34,173,186,166,24,43,12,174,6,38,36,106,164,88,78,9,1,158,170,175,57
166,88,6,158,34,151,24,98,57,29,15,194,100,173,122,73,43,44,38,53,31
47,29,87,155,85,129,199,158,66,7,98,57,152,15,8,96,194,100,151,173,122
171,57,73,78,22,66,158,98,29,15,194,100,173,122,43,44,175,53,31,64,28
117,191,31,158,98,57,29,15,194,100,173,122,73,43,44,175,53,64,28,79,7
99,143,40,174,36,73,74,158,57,29,15,194,100,173,122,43,44,175,53,31,64
21,15,65,38,31,132,62,98,57,29,194,100,173,122,73,43,158,24,53,64,28
22,16,57,171,59,118,73,165,146,7,63,122,181,78,25,66,100,15,29,98,194
199,129,47,169,155,29,87,88,7,146,164,42,85,175,54,182,158,66,61,100,173
128,28,5,53,98,57,29,15,194,100,173,122,73,43,175,24,31,64,79,7,88
9,24,142,151,170,19,174,12,106,167,164,96,78,34,194,29,100,57,15,173,158
36,99,43,143,173,174,73,40,74,1,78,34,170,98,57,15,194,24,29,158,44
181,16,146,122,165,106,22,72,6,194,100,173,80,73,83,43,44,175,53,31,64
39,4,93,198,111,74,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64
177,19,147,25,158,57,29,15,194,100,173,122,73,43,44,53,98,31,64,28,79
54,175,189,14,163,8,146,90,129,132,144,199,73,122,57,100,15,29,173,194,158
1,43,123,55,173,5,36,103,78,34,170,100,29,15,194,98,57,158,24,73,44
178,64,62,158,57,29,15,194,100,173,122,73,43,44,175,31,98,28,79,7,88
176,110,3,40,161,25,158,29,15,194,100,173,122,73,43,44,53,31,64,28,79
60,140,160,119,86,100,161,144,61,173,122,73,43,194,15,44,29,175,158,53,31
164,24,169,106,88,12,174,7,42,199,9,182,34,61,31,57,151,79,29,28,15
129,199,47,29,87,155,146,85,54,175,158,66,57,8,15,96,194,151,100,173,28
62,107,65,15,178,64,38,21,103,31,132,72,122,173,194,29,57,100,73,53,44
46,165,72,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28,79,7
167,151,142,170,6,58,9,96,78,158,100,194,29,173,57,15,122,44,43,98,175
142,151,170,167,78,96,9,158,57,29,15,194,100,173,122,73,175,44,98,53,31
146,16,122,165,181,129,22,199,175,54,64,29,15,194,100,8,96,173,151,88,73
12,24,101,106,164,122,174,9,34,97,194,100,173,189,80,73,43,44,175,53,15
16,146,122,165,181,22,29,15,194,100,173,73,43,44,175,53,31,64,28,79,7
169,42,88,7,164,182,199,61,158,122,173,194,15,29,57,98,100,73,44,175,53
102,83,175,98,57,29,15,194,100,173,122,73,43,44,158,31,64,28,79,7,88
106,24,12,174,164,181,72,9,34,96,98,57,29,15,194,100,173,122,44,43,8
38,186,15,65,21,132,31,62,34,28,24,98,57,152,29,8,96,194,100,173,122
152,96,97,44,158,57,29,15,194,100,173,122,73,43,175,31,98,64,28,79,7
163,8,189,175,144,54,151,57,29,15,194,100,173,122,73,43,96,44,53,98,31
96,152,142,151,170,97,167,44,9,78,173,100,158,15,29,57,194,122,175,43,98
142,151,170,167,78,96,9,158,57,29,15,194,100,173,122,73,175,44,98,53,31
88,166,169,7,164,6,42,199,182,158,34,61,30,29,15,194,100,173,122,73,43
7,169,59,118,88,63,42,164,22,199,182,25,61,122,173,29,194,15,57,100,73
79,134,158,98,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28,7,88
28,53,128,57,29,15,194,100,173,122,73,43,44,175,158,31,64,79,7,88,151
178,64,62,158,57,29,15,194,100,173,122,73,43,44,175,31,98,28,79,7,88
31,117,191,65,15,38,132,21,62,29,194,57,100,98,173,122,73,44,24,175,53
53,28,85,128,66,158,57,29,15,194,100,173,122,73,43,44,175,31,64,79,7
175,54,189,102,163,8,83,146,129,144,199,15,194,100,173,122,73,43,44,31,29
44,61,63,97,152,96,43,73,122,173,158,15,29,57,98,100,194,53,24,31,64
173,43,36,78,1,34,170,98,57,29,15,194,100,122,73,44,175,53,31,64,28
73,171,99,143,57,36,40,174,22,78,74,66,28,96,24,151,98,88,29,7,194
122,16,101,12,146,165,181,22,29,15,194,100,173,73,43,175,57,53,31,64,28
173,43,36,78,1,34,170,98,57,29,15,194,100,122,73,44,175,53,31,64,28
60,140,160,119,86,100,161,144,61,173,122,73,43,194,15,44,29,175,158,53,31
194,158,19,9,98,57,29,15,100,173,122,73,43,44,175,53,31,64,28,79,7
15,65,38,21,31,132,62,98,57,29,194,100,173,122,73,43,158,24,53,64,28
47,29,87,155,85,129,199,158,66,7,98,57,152,15,8,96,194,100,151,173,122
171,57,73,78,22,66,158,98,29,15,194,100,173,122,43,44,175,53,31,64,28
98,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28,79,7,88,151
24,106,12,164,174,9,34,6,15,194,100,173,80,122,73,43,44,175,53,31,64
186,38,34,152,98,57,29,15,194,100,173,122,73,43,106,44,24,31,64,28,79
163,8,189,175,144,54,151,57,29,15,194,100,173,122,73,43,96,44,53,98,31
40,99,110,176,143,3,174,73,36,161,74,25,15,194,100,173,29,122,158,57,175
176,110,3,40,161,25,158,29,15,194,100,173,122,73,43,44,53,31,64,28,79
39,4,93,198,111,74,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64
99,143,40,174,36,73,74,158,57,29,15,194,100,173,122,43,44,175,53,31,64
69,182,158,57,29,15,194,100,173,122,73,43,44,98,175,31,64,28,79,7,88
147,49,177,19,144,25,43,73,122,173,158,194,15,29,57,100,44,53,98,31,64
85,47,29,87,66,155,53,129,199,158,28,98,57,152,15,8,96,194,100,151,88
165,16,46,146,122,181,22,72,29,15,194,100,173,73,43,44,53,57,31,64,28
161,176,3,100,86,119,110,60,140,160,40,144,25,61,64,15,194,8,96,173,122
39,4,93,198,111,74,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64
101,12,122,57,29,15,194,100,173,73,43,44,175,98,158,64,28,79,7,88,151
60,140,160,119,86,100,161,144,61,173,122,73,43,194,15,44,29,175,158,53,31
60,140,160,119,86,100,161,144,61,173,122,73,43,194,15,44,29,175,158,53,31
118,59,63,7,22,25,43,73,122,173,100,194,15,29,57,44,175,158,98,31,64
60,140,160,119,86,100,161,144,61,173,122,73,43,194,15,44,29,175,158,53,31
55,123,5,103,1,158,98,57,29,15,194,100,173,122,73,43,175,24,53,31,64
30,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28,79,7,88,151
47,29,87,155,85,129,199,158,66,7,98,57,152,15,8,96,194,100,151,173,122
97,83,44,152,96,158,57,29,15,194,100,173,122,73,43,175,31,98,64,28,79
118,59,63,7,22,25,43,73,122,173,100,194,15,29,57,44,175,158,98,31,64
6,166,167,88,58,158,34,59,29,15,194,100,173,122,73,43,44,175,57,53,64
49,147,144,158,57,29,15,194,100,173,122,73,43,44,175,31,98,64,28,79,7
163,8,189,175,144,54,151,57,29,15,194,100,173,122,73,43,96,44,53,98,31
80,74,25,170,158,98,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28
83,102,97,175,57,29,15,194,100,173,122,73,43,44,53,158,64,28,79,7,88
107,103,62,72,158,57,29,15,194,100,173,122,73,43,44,175,64,31,98,28,79
176,110,3,40,161,25,158,29,15,194,100,173,122,73,43,44,53,31,64,28,79
26,98,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28,79,7,88,151
