,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13767.0,22633,22866,22867,22086,22585,22745,22910,22423,22114,84029G,22632,21479,22470,22961,22865,85099B,22469,22112,22666,84029E
13777.0,22633,22086,22866,84029G,82494L,22867,22632,22469,22961,22423,22865,84029E,22666,85123A,22470,84375,22910,85099B,21156,22745
13838.0,22086,82494L,22633,84029G,22666,85123A,22470,22637,22469,84029E,15056BL,15056N,79321,82483,82482,37370,22112,22423,21533,22727
13941.0,22570,21673,22423,79321,22752,20972,20971,22568,22075,21731,70007,22086,22492,22961,22910,82486,22940,22746,84375,22144
14031.0,82486,84029G,82494L,15056BL,22423,37370,21730,21068,71053,22752,82483,84406B,21871,22086,21071,84029E,82482,85123A,22121,20679
14047.0,84029G,22077,84375,22940,22837,22423,85049E,22144,22968,22961,22910,22963,22867,22964,22593,82486,22816,85123A,22750,22568
14078.0,22940,85049E,22077,22141,22961,22144,22750,22968,22147,22867,22818,22816,22383,85049A,22149,22748,22960,22749,20967,22578
14081.0,84029G,22633,22910,22867,22086,22423,22632,84375,85123A,22745,22748,82494L,21479,22866,22666,22865,20726,22940,22818,21539
14083.0,85178,84952B,84952C,22181,22553,20685,22534,22557,22435,84569B,22536,21983,17107D,20754,22661,21830,35471D,20751,85231G,22452
14135.0,22902,21984,21430,20724,21026,22977,16258A,84952B,21719,21398,22973,21426,22661,22791,21268,84952C,21357,85178,21883,22292
14142.0,22633,22867,22866,22585,22086,22423,22961,22632,22865,22469,84029G,85099B,84879,22745,22114,22666,22910,84029E,22470,22726
14161.0,22633,22866,22086,84029G,22910,22112,22470,22867,22469,85123A,82494L,22111,22632,22865,22694,21479,85099B,22423,84029E,22197
14180.0,84029G,82486,82494L,37370,15056BL,71053,21730,21068,22423,21871,84406B,21071,84029E,82483,85123A,84375,22086,22121,82482,20679
14210.0,21533,21934,84836,21033,84946,22851,22469,84971S,21108,22891,84509A,22502,21166,22637,21867,35004C,22435,21175,21169,22428
14307.0,22910,22423,22952,22585,22909,22086,22866,21479,22633,84029G,22112,84879,22619,22752,22111,84347,22745,22943,21673,22940
14388.0,22633,84029G,22910,22086,22423,22867,84879,22961,85099B,22197,22470,22866,22745,22077,22865,22666,22386,84375,22960,22748
14390.0,22633,22866,22470,85099B,22469,22910,22197,22086,22694,22867,21479,22112,22865,21034,22750,20967,84029G,21931,20725,85049A
14395.0,22633,84029G,22086,22910,82494L,22866,22423,22867,22632,85123A,22112,84029E,21871,22111,22752,22470,37370,22865,84375,21068
14396.0,22910,84029G,22086,22423,22964,22909,22745,22666,85123A,84375,22470,22077,22748,22952,22816,21539,21843,22837,21914,22112
14404.0,84879,22633,85099B,22077,22910,84029G,22867,22423,22745,22961,22960,22386,22197,22470,22557,22086,22748,22666,21080,84692
14449.0,22077,22197,22940,22961,22568,22147,85099B,85049E,22749,22960,20727,22910,22383,22900,22759,22750,22866,20967,22470,22570
14506.0,22940,22568,22961,22197,22147,22570,22077,20971,22900,22749,85049E,20972,22750,85099B,20967,22383,22759,20727,22866,22149
14527.0,22112,22469,22297,22694,22158,21479,21930,21165,22633,22866,21175,22810,22441,84378,22111,84836,22100,22156,21034,22470
14573.0,22940,22086,22633,20974,84029G,20982,22866,22749,20967,22382,22750,22632,82494L,22910,21479,22197,85049E,15056N,22144,20975
14594.0,22910,84879,84029G,22633,22470,85123A,21811,85099B,21843,22659,21213,22574,22112,22197,21326,85152,22296,22570,22457,22568
14606.0,21484,20972,20768,22150,21398,22570,20971,22497,37449,22379,22081,21719,21894,20978,22568,21850,22260,20750,22902,90214S
14680.0,22633,22086,22866,22910,22867,84029G,22470,22423,22112,22865,85099B,22469,22745,21479,22111,22961,84029E,22632,85123A,22666
14688.0,85099B,22866,22633,22197,22469,22865,22961,20725,22470,22867,22553,22551,22383,21212,20727,21034,21479,22557,22086,22694
14696.0,22973,21426,21025,22917,84569B,22920,72816,21061,21393,22916,21357,22906,21703,84985A,22292,21031,21268,21932,21392,21719
14723.0,22633,22866,22086,22910,84029G,22867,22112,22470,22469,21479,85123A,22865,85099B,22632,22111,22423,82494L,22694,84029E,22197
14729.0,22469,22633,22557,84378,22297,22694,22810,21175,22441,22112,85099B,22866,21930,21479,22659,22470,22100,20754,21584,21165
14775.0,22961,21484,21673,20972,22585,22423,22386,20971,22752,22087,70007,82486,20685,48187,22492,22411,85064,21506,21731,84029E
14800.0,22940,22197,22961,22383,85049E,22865,20727,20725,22633,22750,22382,20726,20967,22867,22077,22834,84029G,84375,22866,22662
14810.0,22633,84029G,22086,22423,22867,22866,22910,82494L,22585,22632,84029E,22666,84879,85123A,22745,22865,22112,22470,22114,22961
14813.0,22633,84029G,22910,22086,22866,85123A,22867,82494L,22423,22470,22632,22112,22865,84375,84029E,22111,21871,22197,22750,21479
14829.0,82494L,22961,22727,22633,22632,22469,82483,15056BL,85174,22637,22646,15056N,82482,85064,22352,20972,21071,21156,22866,37370
14849.0,22745,22423,22633,22867,84879,22585,22910,22086,22748,22909,84029G,22961,22114,22386,22666,22960,22866,85099B,22470,22952
14901.0,22633,22867,22666,22910,84879,22745,85099B,84029G,22557,22086,22470,22748,22865,22659,84692,22423,21154,22917,21080,22866
14911.0,22622,22114,22113,70007,21485,22909,20668,22121,21363,22795,84352,22112,22592,22910,84029E,21871,82486,22914,84406B,22111
15012.0,22633,22866,22086,82494L,84029G,85099B,84879,22469,84991,22470,22632,22197,21754,20725,21892,22441,22961,21122,85123A,22382
15023.0,22633,22112,84029G,22086,82494L,22111,22866,85123A,22910,22470,22469,84406B,21871,84029E,22694,21754,22632,82483,21479,82482
15038.0,22297,22112,22158,22694,84378,21181,21165,22469,22156,22278,22470,21930,72802A,85152,85123A,84352,22730,72802C,22295,15060B
15061.0,22659,22557,22585,22558,22553,85178,22961,20685,22454,22813,22533,22534,84952B,84347,22530,22328,22952,22616,22551,22812
15093.0,21507,21506,21508,85178,21106,21498,22023,71459,22029,20685,21509,22533,22454,22718,22438,22808,22452,22027,22860,22129
15111.0,22633,22086,84029G,22866,22867,22910,22423,22745,22961,22470,22632,82494L,84029E,22865,22112,22111,84375,22666,22748,21479
15165.0,22633,84029G,82494L,22423,22086,22632,82486,84879,22867,84029E,22752,37370,22585,22866,22961,22910,84030E,21730,85123A,15056BL
15260.0,22910,22961,22633,22423,22866,84029G,22197,22940,22867,22865,22086,85099B,22568,22470,22750,22960,22077,85049E,22386,84375
15311.0,22637,21672,21533,22502,21673,84406B,22778,82494L,35004C,21258,21166,82483,22775,21670,85014A,84971S,22891,15056N,22646,72741
15332.0,22940,22750,20967,85049E,22144,22961,22749,22197,22568,22837,22910,22147,22968,22149,22866,22141,22570,20971,84029G,22834
15351.0,22383,20725,22382,22197,20975,85099B,20727,22662,22077,21154,20728,21242,21429,21244,22474,21448,85049E,21710,22505,22356
15363.0,22633,22382,22632,22441,22469,21034,20725,22866,20975,21479,84836,20974,20726,21156,22352,22383,22867,22727,22086,85049E
15373.0,84029G,22633,22910,22086,22423,22867,22866,22745,22470,84375,22909,85123A,84879,22748,22666,22585,82494L,22112,84029E,22632
15426.0,21754,84406B,82483,82494L,21811,71053,85123A,82486,84029G,15056BL,47567B,82482,22851,37370,15056N,22574,21730,21068,15060B,22112
15485.0,82494L,84029E,84406B,21871,22752,22633,21071,82483,37370,82486,79321,22111,22086,84029G,15056BL,22632,21068,21730,71053,22112
15502.0,84029G,71053,21539,85123A,82486,82482,21071,82494L,21892,15056BL,22955,21730,22428,22803,37449,37370,21035,20679,22638,22196
15525.0,22961,22423,22960,22386,22867,22585,84879,22659,22077,22910,22568,22865,22745,21080,22748,22328,22812,84692,22633,22616
15544.0,85099B,22197,84879,22470,22077,22557,22910,21212,21154,22960,84692,22383,22865,22659,20727,22866,20728,21931,22961,22633
15545.0,84029G,22423,82486,21892,22386,22969,22632,82494L,22961,20750,22943,84879,84991,22966,22585,22077,84030E,22633,21625,22625
15555.0,22910,22694,22866,22633,22112,22867,22571,22470,22818,22865,22158,22750,22659,85099B,22753,21931,20967,22197,22469,22738
15570.0,22633,84029G,22632,22867,82494L,22086,84029E,22866,21871,22910,22423,85123A,21485,22111,22727,22112,22114,22865,21481,22726
15574.0,84879,22557,22659,21967,84692,21984,22952,21981,20724,21328,22376,22974,22635,21430,22386,22555,22558,22585,21398,22973
15601.0,82486,21071,82494L,82483,84406B,15056BL,37370,21506,21673,21730,22752,71053,21068,21670,72741,22121,22803,22411,22637,82482
15605.0,82494L,22961,22632,22752,21673,22940,22866,22086,22633,22727,84029E,20972,20971,15056BL,37370,82483,15056N,84029G,82486,21871
15646.0,22781,22948,20668,85049D,22816,22845,21703,85071C,22168,22246,22245,22944,21218,21014,21056,22631,22244,21064,22493,22892
15658.0,82494L,82486,84029G,22423,15056BL,37370,84029E,22086,21730,21071,21871,84406B,22752,82483,71053,79321,22411,21068,84375,84030E
15708.0,22632,22633,22727,84029E,22866,82494L,22867,21871,21485,22469,21481,22865,22111,22726,21071,22694,22730,22086,21889,85174
15716.0,22633,84029G,82494L,22632,85123A,22086,22867,21871,22866,22910,84029E,82482,22112,22423,82486,37370,21068,22111,82483,21730
15738.0,22086,22633,84029G,22910,22470,22197,85123A,22866,85099B,22666,22867,22745,22423,21479,84375,20726,20967,20975,82494L,22112
15752.0,22633,22866,22632,22086,22867,84029G,82494L,22469,22865,84029E,22961,21479,22111,22910,85123A,22727,22423,21871,22112,22470
15808.0,22633,84029G,22086,22867,22866,22910,82494L,22632,22423,22470,85123A,84029E,22961,22745,22865,84375,22112,22666,21871,22727
15827.0,22077,84029G,22964,22963,22423,22568,84375,21080,22910,21843,22960,22837,22386,22961,85049E,20727,20724,84692,22745,22962
15862.0,22633,82494L,22632,82482,82483,22469,22352,21533,84836,85123A,22441,21071,20725,21754,84029G,15056N,15056BL,22810,84991,21787
15867.0,22633,84029G,22086,22632,82494L,22910,22866,22423,22867,84029E,21479,22752,22111,22968,21871,85123A,22112,22745,37370,84375
15880.0,22469,22297,85099B,22866,22112,22470,22557,22694,22659,22910,21931,22278,22633,21930,22553,84378,22295,22197,22457,22158
15889.0,22633,21479,22441,84836,21098,20978,M,21587,22114,22726,22867,22694,90082B,22112,22913,21889,22866,22818,21165,22158
15894.0,22633,22866,22469,85099B,22470,22910,22112,22086,22694,22197,22867,21479,22865,84029G,22111,21034,21930,85123A,21931,22632
15922.0,21719,20768,21398,22245,22081,47591B,71459,90214S,21643,21789,21424,22260,21056,22570,21620,21850,20659,22135,21426,37461
15923.0,22396,47422,22781,90128B,20986,47503H,20661,85184C,90151,22398,10120,21161,85034A,20658,90152B,84877D,21642,21711,72127,84509G
15953.0,22633,84029G,82494L,22086,85123A,22632,22867,22866,22910,82482,21871,84029E,37370,22423,15056BL,21730,82483,22112,22470,21068
15955.0,22633,22086,84029G,22866,22867,22910,22470,82494L,85123A,22469,22423,85099B,22632,22865,22112,22666,21479,84029E,22197,22111
15983.0,22866,21479,20982,22469,22086,22112,85099B,22470,22633,21034,22111,22910,22197,22294,20974,22441,22553,21156,22663,20975
16029.0,85099B,22866,22910,22470,22197,22086,22633,22865,22940,22867,22469,22961,20967,22745,21931,22750,21479,22112,20727,22568
16033.0,22086,22867,84029G,22633,84029E,84375,22632,22423,82494L,21485,22910,21871,22865,22746,21481,22866,85123A,22666,22745,79321
16098.0,21485,22114,22113,84029E,84029G,21479,22746,21889,22747,21871,21912,22632,22745,21481,22816,22748,22086,22818,22968,21890
16143.0,22633,85099B,22866,22470,22197,22867,22469,22086,22865,20725,22961,22910,84029G,20727,22666,22694,20726,21479,22383,85049E
16150.0,22961,85099B,84879,22077,22386,22197,22960,22745,22633,22867,20728,20727,22568,22866,22470,22748,22423,22557,22910,21080
16186.0,22633,22086,22866,22961,22867,84029G,22910,22745,22423,22470,22632,85099B,22865,22197,20972,82494L,84375,21479,85049E,22666
16203.0,22910,22633,22866,22867,84029G,22940,22086,22961,22750,22745,22197,22470,22865,22423,22968,85049E,22748,20967,22144,84375
16210.0,22633,84029G,22910,22086,22423,22867,22866,22745,84879,22470,22961,22666,84375,85123A,22632,22748,22865,82494L,22585,22909
16218.0,22077,22197,22383,22960,22940,20724,85099B,20727,21212,22961,22328,85049E,22141,22629,22759,22865,21243,20725,84692,20728
16241.0,22633,22866,22086,84029G,22867,22910,22470,22865,22632,22423,22112,85123A,21479,22961,82494L,22745,84029E,22111,85099B,22750
16244.0,22502,21533,82483,22851,15056N,21754,22637,20974,84406B,20982,85014A,22318,20983,82494L,84509A,21313,21673,22891,84971S,35004C
16250.0,82486,82494L,84406B,82483,71053,84029G,21068,22121,21730,37370,21071,21871,15056BL,21754,84030E,22752,82482,84029E,22113,15056N
16274.0,21071,22633,22632,21871,82494L,84029G,21068,84406B,71053,85123A,84029E,82482,21730,22571,22867,82486,22428,37370,82483,22411
16327.0,85099B,22469,20725,22961,22383,22557,22457,20727,21260,21231,21213,22470,84946,22197,22866,21154,84879,21427,22553,22379
16402.0,22956,21506,22962,21107,22961,22585,22963,22411,22094,22813,84050,22084,21071,22386,21106,21080,22632,22097,21874,85174
16411.0,85099B,22866,22633,22961,22557,84879,22585,22659,22553,22197,22865,22867,22086,22423,22386,22469,22910,22616,22470,22551
16422.0,22086,22633,22470,22866,85099B,84029G,22910,22469,22867,22197,21479,22745,22112,22666,20975,22961,82494L,20974,20727,85123A
16455.0,20971,22570,22147,22568,20972,22273,22751,22749,22940,22587,21448,20685,21850,22321,22565,21738,22150,21688,22274,22271
16456.0,22633,22866,22086,85099B,22867,22470,22197,22961,22865,22910,84029G,22469,85049E,20727,20725,22750,21479,22632,22745,22940
16477.0,22910,22940,84029G,22867,22144,22750,22633,22968,22086,22746,21485,84375,21479,22866,20967,22818,22632,22745,22816,22748
16510.0,22633,22086,84029G,84029E,22112,22867,22910,82494L,22866,22114,22423,22632,21871,22111,21485,22745,85123A,21479,22666,22470
16539.0,22633,84029G,82494L,85123A,22086,82482,21871,22632,22867,15056BL,82483,22910,37370,21730,71053,22866,21068,22112,84406B,84029E
16546.0,22633,84029G,22086,22910,22866,22867,22423,22632,22470,22865,85123A,82494L,22112,22961,22745,84029E,21479,85099B,84375,22666
16583.0,22633,84029G,22632,22086,82494L,84029E,22867,22910,22423,22866,21871,21479,22111,85123A,22752,22112,37370,21485,84030E,22114
16718.0,22748,22818,22745,22910,21098,22867,21888,22917,22816,22916,22960,22666,22909,21918,22114,21154,22077,84029G,22470,21479
16725.0,22633,22112,22086,22866,22469,22111,84029E,22910,22585,82494L,21871,22423,79321,22867,84029G,22114,22752,85123A,21485,22694
16781.0,82486,84406B,71053,22121,82483,15056BL,21068,82494L,37370,21730,21071,22803,21754,84029G,20679,82482,72741,21745,21871,84792
16814.0,22633,84029G,82494L,22086,22910,22632,22866,22423,22867,85123A,84029E,22752,21871,37370,22112,22111,82486,15056BL,21730,21068
16883.0,84029G,82494L,82486,15056BL,85123A,22632,22633,37370,21730,21871,82483,82482,22968,20679,21068,71053,21071,84375,22867,22746
16891.0,22633,22866,22112,22470,21479,22469,22086,22111,22632,22727,22694,22867,84836,21034,85099B,22726,20974,85049A,22441,84029G
16916.0,22557,84879,85099B,21967,21154,22659,84692,21328,22470,20724,22553,21238,22457,21931,21121,21213,20751,22988,20728,22745
16926.0,22245,82567,37449,21071,21518,84509G,21340,47580,22781,21903,71053,22120,22121,82599,22261,22849,82486,21904,21070,21745
16931.0,84029G,22910,22633,22086,22867,22866,22423,84375,22968,22750,22746,85123A,22470,22745,22865,22940,20967,22961,22837,22144
17017.0,22910,22086,22866,22423,22633,22867,84029G,22940,22197,22865,22745,22470,85099B,22960,22952,22748,84375,22112,22750,22961
17059.0,22633,22866,22469,85099B,22867,22865,22961,22086,22470,21479,22197,22694,22745,22910,22632,22553,22585,21790,21034,22666
17062.0,22910,22423,22909,84029G,22952,22585,22633,22086,22745,22748,21479,22867,22114,84879,22866,22960,22112,84375,22619,22943
17069.0,22961,22867,22423,22865,22386,22633,22960,22745,84375,22077,21080,84029G,22666,20727,22585,22748,22963,22910,85099B,84692
17198.0,21738,22940,20685,85178,10120,22751,21623,21711,21448,22398,22587,48184,20615,20986,72127,22781,22242,21928,16237,20681
17211.0,22633,84029G,22910,22086,22867,22423,22866,22745,22112,84029E,22632,85123A,22470,82494L,84375,22748,21485,21871,22114,22865
17228.0,22633,22866,22086,22867,22910,22470,85099B,84029G,22865,22961,22469,22197,21479,22423,22112,22745,22632,22694,22111,22666
17238.0,84029G,22633,22910,22940,22867,22750,20967,22968,22086,85049E,85123A,84375,22144,22866,22837,22865,22632,22746,22961,22423
17243.0,22633,22086,84029G,22866,22867,22910,22632,22112,22423,82494L,84029E,22111,85123A,22470,21479,21871,22865,22745,21485,22114
17287.0,22633,22866,22086,22867,22910,84029G,85099B,22423,22470,22865,22961,22745,84879,22197,22666,22585,22469,21479,22748,22112
17346.0,22910,22866,85099B,22633,22197,84879,22470,22423,22961,22086,22952,22867,22557,22865,22960,22112,22585,22659,21479,22900
17377.0,84029G,82494L,22633,82486,22910,22086,22752,22423,37370,22632,21871,21068,21730,85123A,15056BL,82483,84029E,21754,84406B,22968
17402.0,22745,84029G,22423,22910,22077,22748,22867,22960,22666,22086,84375,22909,22961,84879,22633,22386,22568,21080,22968,22114
17511.0,22633,84029G,22867,22086,22910,22866,22423,22961,22865,22470,22745,85099B,85123A,22666,22632,84375,22197,82494L,22748,84879
17552.0,84991,22633,82494L,22086,84879,35004C,21533,21892,85014A,84946,21156,22969,22956,22502,20983,22386,21673,22083,84030E,21121
17567.0,82494L,21673,22086,82486,22752,15056BL,37370,82483,84029E,22632,15056N,84029G,22423,22633,21730,22637,21156,22961,22969,79321
17581.0,22961,22633,85099B,22867,22086,22197,22423,22386,22910,22866,22745,84879,22865,22077,20727,84029G,22960,22470,22666,22557
17659.0,22633,22086,22866,22910,84029G,22867,22423,22961,22470,85099B,22745,22865,22197,84879,22748,84375,22386,22666,22112,22585
17685.0,22633,84029G,22086,22866,22910,22867,82494L,22423,85123A,22632,22112,22865,22470,22469,84029E,22111,22585,22666,21871,84879
17690.0,22633,22867,22910,84029G,22423,22961,22745,84879,22086,22866,22748,22960,85099B,22386,22865,22470,22666,22585,22077,22909
17732.0,22633,84029G,22086,22910,22867,22866,22423,22470,22745,22961,82494L,22632,22865,22666,85123A,84375,84029E,85099B,22112,22585
17757.0,22961,85099B,22867,22077,22197,22960,22745,22865,22910,22633,22470,20727,22748,22866,22386,22568,85049E,22086,22423,22666
17787.0,22469,22112,21258,22297,22694,22730,22158,22278,22111,22637,22086,22866,21930,84352,22633,79321,22470,84406B,21181,21165
17796.0,22633,22910,22086,22867,84029G,22866,22112,22470,22423,21479,22865,22745,22666,85123A,84029E,22114,22632,22111,22585,22469
17802.0,85049E,22940,22750,22197,22961,20967,22633,22867,22077,22383,84029G,22968,20725,20727,22866,22141,22749,22865,20726,22382
17809.0,22633,22910,22961,22086,22866,22423,22867,84029G,22745,85099B,22197,22470,22077,22865,22748,22960,22386,84879,22940,84375
17819.0,22910,22633,22423,84029G,22086,22867,22745,22585,84879,22909,22866,22748,22470,22666,22114,22952,22112,84375,22960,22865
17838.0,82494L,21071,82483,15056BL,84406B,37370,21730,82486,71053,82482,21871,15056N,21068,85123A,22632,84029G,20679,84029E,22752,21754
17841.0,22114,22112,22086,22111,21485,84029E,22866,79321,22585,22730,84352,21258,22910,22867,21481,22633,22835,21871,22423,22469
17850.0,84029G,22633,82494L,22086,22632,85123A,22423,21871,84029E,37370,22910,22867,82486,15056BL,21730,22752,82482,82483,22866,21068
17855.0,22910,22866,22633,21479,22086,22867,22745,22423,22112,84029G,22748,22470,22585,22909,22952,22114,22197,22865,21485,85099B
17858.0,82494L,82483,21071,84406B,15056BL,82486,37370,21673,21871,22752,22632,21670,21730,84029E,15056N,22637,71053,22727,21068,22188
17863.0,22659,85099B,22557,22910,22866,22952,84879,22470,22553,22865,22960,22423,22585,22198,22197,84692,22086,22616,22867,21931
17884.0,22910,22633,22867,22866,22086,22423,22865,22961,84029G,22745,85099B,22470,22197,22748,22960,84375,22585,22940,22666,21479
17897.0,22960,22961,22940,22075,22910,22568,22423,22147,22144,84347,22585,21914,22748,22745,22909,21484,22077,20972,22867,22952
17905.0,21071,82486,82494L,71053,37370,15056BL,21730,22411,84406B,82483,84030E,82482,21068,84029E,22969,21871,22803,22632,21506,84029G
17908.0,22112,22866,85099B,22570,22470,22910,22900,21931,22568,22075,84879,85116,85099F,22198,22111,20972,22297,22469,21811,22278
17920.0,22077,22940,22749,22383,85049E,22961,22197,22568,20727,22147,22273,20725,22569,20967,21448,22243,22141,22750,21738,20971
17954.0,22633,84029G,22910,22086,22867,22423,22745,22866,22470,22666,22748,84375,22865,85123A,22961,22968,85099B,84029E,82494L,22632
17961.0,22077,84879,22961,22197,85099B,22633,22745,22386,22960,20728,22910,22423,20727,22086,22867,22748,22866,21212,84029G,22952
17964.0,20967,22940,22750,22866,22910,21479,21034,22818,21623,22141,22633,22694,22197,22470,22867,21485,22746,22144,22865,22086
17967.0,22940,22383,22961,85049E,20727,20725,22077,22197,22382,22750,22662,22749,22865,20967,22141,20726,22554,22147,22963,84375
17968.0,22557,85099B,22553,21212,22952,22659,22197,22866,22558,22551,84879,22619,84347,22663,22910,22616,22585,22813,85231B,21967
17976.0,22633,84029G,22470,22968,20975,85049E,22910,22866,20967,22197,20974,21479,21892,22086,22382,22900,85049A,22112,22174,20726
18011.0,22952,22619,22333,21329,21212,21738,21815,21914,22910,21327,22759,22077,22964,22816,22916,22976,22197,21912,21814,22940
18041.0,22867,22633,85099B,22961,22865,22745,22666,22197,22866,84879,22748,22470,22960,22077,22910,21080,21154,22386,20727,22086
18055.0,84406B,22112,21258,22113,22121,22622,21871,22114,84029E,22747,21485,22111,21363,22592,22914,71053,84352,85232B,22188,84030E
18074.0,82494L,84406B,82483,71053,21071,84029G,85123A,21871,82482,21068,22633,37370,21730,15056BL,21754,82486,15056N,22632,84029E,22112
